indicator,mean_abs_shap,rank,contribution_pct,cumulative_pct,selected
fmax_mhz,0.6667727468569237,1,17.456674034522603,17.456674034522603,True
setup_time_ns,0.4032949087409562,2,10.558601554817445,28.01527558934005,True
vol_voltage,0.3487285875743464,3,9.130009150045725,37.14528473938577,True
warpage_um,0.3416851530374641,4,8.945606081123898,46.09089082050967,True
vil_voltage,0.2847993058964792,5,7.45628652599976,53.54717734650943,True
iol_leakage_ua,0.2685361192207148,6,7.030502554024778,60.57767990053421,True
aging_frequency_mhz,0.2649085604097413,7,6.935529998528573,67.51320989906279,False
propagation_delay_ns,0.2490899298068637,8,6.521384880257548,74.03459477932033,False
idd_dynamic_ma,0.2203542361659769,9,5.769060134818448,79.80365491413878,False
package_scratch_depth_um,0.1728311413659131,10,4.524865348893216,84.32852026303199,False
vih_voltage,0.1490874058229678,11,3.903234285402784,88.23175454843478,False
pin_flatness_deviation_um,0.1335846202115967,12,3.497358255945234,91.72911280438,False
idd_static_ma,0.1075756032565126,13,2.816420210586428,94.54553301496644,False
package_size_deviation_percent,0.0692556826301604,14,1.81317230257535,96.3587053175418,False
voh_voltage,0.0419298670516602,15,1.0977593563654835,97.45646467390728,False
pin_coplanarity_percent,0.0377519823010939,16,0.9883788026637462,98.44484347657102,False
boundary_scan_pass,0.016681516327616,17,0.436736195811024,98.88157967238205,False
hold_time_ns,0.0116660481960898,18,0.3054270013136441,99.18700667369568,False
vdd_voltage,0.0078057283756458,19,0.2043605658719466,99.39136723956764,False
iil_leakage_ua,0.0077491604461397,20,0.202879569669191,99.59424680923684,False
fall_time_ns,0.0042151154313252,21,0.1103552843894496,99.70460209362628,False
solder_pad_oxidation_percent,0.0039389476248989,22,0.1031249778144777,99.80772707144077,False
aging_voltage_v,0.0022242754327736,23,0.0582334106724632,99.86596048211322,False
rise_time_ns,0.0021047354698952,24,0.0551037534153186,99.92106423552856,False
aging_duration_hours,0.0018194413616384,25,0.0476345125453449,99.96869874807388,False
aging_temperature_c,0.0011955783607782,26,0.0313012519261121,100.0,False
jtag_scan_pass,0.0,27,0.0,100.0,False
functional_test_pass,0.0,28,0.0,100.0,False
